scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
iTst_38_1e3,1,5000,500,1000,144,0.0,13.0,-1.0,-0.5417,-0.2889
iTst_382_1e3,1,5000,500,1000,182,25.0,1.0,0.9231,0.4286,0.2474
iTst_383_1e3,1,5000,500,1000,134,0.0,0.0,nan,0.0,0.0
iTst_384_1e3,1,5000,500,1000,149,3.0,0.0,1.0,0.0698,0.06
iTst_385_1e3,1,5000,500,1000,149,1.0,0.0,1.0,0.0303,0.0244
iTst_386_1e3,1,5000,500,1000,171,0.0,1.0,-1.0,-0.0238,-0.0161
iTst_387_1e3,1,5000,500,1000,140,1.0,0.0,1.0,0.0333,0.025
iTst_388_1e3,1,5000,500,1000,149,0.0,1.0,-1.0,-0.0333,-0.0256
iTst_389_1e3,1,5000,500,1000,150,0.0,0.0,nan,0.0,0.0
iTst_390_1e3,1,5000,500,1000,147,2.0,9.0,-0.6364,-0.2121,-0.1296
iTst_391_1e3,1,5000,500,1000,133,0.0,0.0,nan,0.0,0.0
iTst_39_1e3,1,5000,500,1000,144,0.0,0.0,nan,0.0,0.0
iTst_392_1e3,1,5000,500,1000,154,0.0,0.0,nan,0.0,0.0
iTst_393_1e3,1,5000,500,1000,154,0.0,0.0,nan,0.0,0.0
iTst_394_1e3,1,5000,500,1000,169,15.0,0.0,1.0,0.2381,0.1613
iTst_395_1e3,1,5000,500,1000,153,0.0,2.0,-1.0,-0.0645,-0.0385
iTst_396_1e3,1,5000,500,1000,145,2.0,0.0,1.0,0.0588,0.0435
iTst_397_1e3,1,5000,500,1000,179,2.0,8.0,-0.6,-0.1538,-0.0923
iTst_398_1e3,1,5000,500,1000,183,0.0,0.0,nan,0.0,0.0
iTst_399_1e3,1,5000,500,1000,143,0.0,1.0,-1.0,-0.0357,-0.027
iTst_400_1e3,1,5000,500,1000,165,0.0,0.0,nan,0.0,0.0
iTst_401_1e3,1,5000,500,1000,164,1.0,27.0,-0.9286,-0.5652,-0.3171
iTst_40_1e3,1,5000,500,1000,150,0.0,0.0,nan,0.0,0.0
iTst_402_1e3,1,5000,500,1000,159,1.0,8.0,-0.7778,-0.3043,-0.1707
